location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
808,"Indura","pm10",90,"µg/m³","2025-07-03T13:00:00Z","2025-07-03T09:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",91,"µg/m³","2025-07-03T14:00:00Z","2025-07-03T10:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",92,"µg/m³","2025-07-03T15:00:00Z","2025-07-03T11:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",93,"µg/m³","2025-07-03T16:00:00Z","2025-07-03T12:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",93,"µg/m³","2025-07-03T17:00:00Z","2025-07-03T13:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",92,"µg/m³","2025-07-03T18:00:00Z","2025-07-03T14:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",92,"µg/m³","2025-07-03T19:00:00Z","2025-07-03T15:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",91,"µg/m³","2025-07-03T20:00:00Z","2025-07-03T16:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",90,"µg/m³","2025-07-03T21:00:00Z","2025-07-03T17:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",89,"µg/m³","2025-07-03T22:00:00Z","2025-07-03T18:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",89,"µg/m³","2025-07-03T23:00:00Z","2025-07-03T19:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",87,"µg/m³","2025-07-04T00:00:00Z","2025-07-03T20:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",89,"µg/m³","2025-07-04T01:00:00Z","2025-07-03T21:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",93,"µg/m³","2025-07-04T02:00:00Z","2025-07-03T22:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",93,"µg/m³","2025-07-04T03:00:00Z","2025-07-03T23:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",96,"µg/m³","2025-07-04T04:00:00Z","2025-07-04T00:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",97,"µg/m³","2025-07-04T05:00:00Z","2025-07-04T01:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",97,"µg/m³","2025-07-04T06:00:00Z","2025-07-04T02:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",97,"µg/m³","2025-07-04T07:00:00Z","2025-07-04T03:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",97,"µg/m³","2025-07-04T08:00:00Z","2025-07-04T04:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",97,"µg/m³","2025-07-04T09:00:00Z","2025-07-04T05:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",96,"µg/m³","2025-07-04T10:00:00Z","2025-07-04T06:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
808,"Indura","pm10",97,"µg/m³","2025-07-04T11:00:00Z","2025-07-04T07:00:00-04:00","America/Santiago",-36.769803,-73.113708,,,,"Unknown Governmental Organization","Chile - SINCA"
